Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Spending_Per_Age
37-611-6911,22,Female,Middle,Married,Bachelor's,Middle,Évry,Gardening & Outdoors,333.8,4,Mixed,5,5,2.0,,Somewhat Sensitive,1,7,,Tablet,Credit Card,3/1/2024,True,False,Need-based,No Preference,2,15.172727272727274
29-392-9296,49,Male,High,Married,High School,High,Huocheng,Food & Beverages,222.22,11,In-Store,3,1,2.0,Medium,Not Sensitive,1,5,High,Tablet,PayPal,4/16/2024,True,False,Wants-based,Standard,6,4.5351020408163265
84-649-5117,24,Female,Middle,Single,Master's,High,Huzhen,Office Supplies,426.22,2,Mixed,5,5,0.3,Low,Not Sensitive,1,7,Low,Smartphone,Debit Card,3/15/2024,True,True,Impulsive,No Preference,3,17.75916666666667
48-980-6078,29,Female,Middle,Single,Master's,Middle,Wiwilí,Home Appliances,101.31,6,Mixed,3,1,1.0,High,Somewhat Sensitive,0,1,,Smartphone,Other,10/4/2024,True,True,Need-based,Express,10,3.493448275862069
91-170-9072,33,Female,Middle,Widowed,High School,Middle,Nara,Furniture,211.7,6,Mixed,3,4,0.0,Medium,Not Sensitive,2,10,,Smartphone,Debit Card,1/30/2024,False,False,Wants-based,No Preference,4,6.415151515151515
82-561-4233,45,Male,Middle,Married,Master's,High,Boro Utara,Office Supplies,487.95,8,Mixed,3,3,0.0,High,Not Sensitive,2,3,,Tablet,Debit Card,3/19/2024,False,False,Planned,No Preference,7,10.843333333333334
90-144-9193,21,Female,Middle,Divorced,High School,Middle,Liren,Furniture,486.4,12,Online,2,5,1.0,High,Somewhat Sensitive,0,9,Low,Desktop,Debit Card,3/15/2024,True,False,Need-based,Express,13,23.16190476190476
88-661-4689,39,Male,Middle,Single,High School,Middle,Taocheng,Books,218.06,6,Online,5,4,1.0,Low,Somewhat Sensitive,2,9,,Desktop,Credit Card,3/17/2024,False,True,Impulsive,No Preference,13,5.591282051282051
37-065-3182,24,Female,High,Divorced,Master's,Middle,Gråbo,Office Supplies,201.96,8,In-Store,3,5,0.0,Low,Very Sensitive,1,2,High,Desktop,Cash,6/10/2024,False,False,Need-based,Standard,7,8.415000000000001
84-894-9222,25,Bigender,High,Married,Bachelor's,High,Pryamitsyno,Sports & Outdoors,418.83,7,Online,2,5,1.0,,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,10/7/2024,True,False,Need-based,No Preference,13,16.7532
44-674-4037,33,Male,Middle,Divorced,Bachelor's,Middle,Punta Gorda,Mobile Accessories,389.7,12,In-Store,1,4,0.5,Low,Not Sensitive,0,4,High,Desktop,PayPal,7/2/2024,True,False,Planned,Express,12,11.809090909090909
78-116-8349,38,Female,High,Widowed,Bachelor's,Middle,Győr,Sports & Outdoors,238.93,5,Online,4,3,1.0,Medium,Very Sensitive,0,10,High,Tablet,Cash,12/27/2024,True,False,Planned,No Preference,1,6.2876315789473685
19-933-8095,34,Male,Middle,Single,Bachelor's,High,Gaosheng,Luxury Goods,61.22,7,In-Store,5,2,2.0,Low,Very Sensitive,1,7,High,Desktop,Debit Card,8/5/2024,True,True,Need-based,No Preference,5,1.8005882352941176
80-684-5072,32,Male,High,Married,High School,Middle,Rokytne,Animal Feed,79.81,4,Mixed,5,5,0.0,High,Not Sensitive,0,9,High,Smartphone,Debit Card,7/16/2024,False,True,Wants-based,Standard,14,2.4940625
23-302-7502,30,Female,High,Widowed,High School,High,Alameda,Health Care,58.51,2,Online,4,4,0.5,,Not Sensitive,0,4,Medium,Desktop,PayPal,12/14/2024,True,True,Planned,No Preference,14,1.9503333333333333
90-069-8934,40,Male,High,Divorced,Master's,High,Dhankutā,Hotels,109.29,3,Online,3,4,0.0,Medium,Somewhat Sensitive,2,2,High,Desktop,Debit Card,8/11/2024,False,True,Wants-based,Express,11,2.73225
45-073-7243,37,Male,High,Single,Bachelor's,High,Jindong,Furniture,356.45,6,Mixed,5,5,2.0,Low,Very Sensitive,0,7,Medium,Smartphone,Credit Card,10/18/2024,False,True,Planned,Standard,8,9.633783783783784
89-883-2101,38,Female,Middle,Divorced,Bachelor's,High,Ngeru,Mobile Accessories,236.99,10,Mixed,2,4,0.0,High,Very Sensitive,0,8,,Tablet,PayPal,12/9/2024,True,True,Impulsive,No Preference,13,6.236578947368422
00-477-9449,36,Male,Middle,Widowed,Bachelor's,High,White Rock,Packages),454.39,10,In-Store,2,4,2.0,Medium,Not Sensitive,0,3,,Desktop,Other,7/23/2024,False,True,Impulsive,Standard,3,12.621944444444445
67-159-7366,29,Female,High,Widowed,Bachelor's,Middle,Monastyrshchina,Electronics,490.75,10,In-Store,2,4,1.0,,Very Sensitive,1,4,Low,Smartphone,Debit Card,7/8/2024,False,False,Wants-based,Standard,13,16.92241379310345
85-691-4293,21,Female,Middle,Widowed,High School,Middle,Pangkalanbunut,Software & Apps,463.07,7,Mixed,4,2,0.0,,Very Sensitive,1,2,Medium,Smartphone,PayPal,7/23/2024,True,False,Wants-based,No Preference,11,22.05095238095238
56-085-0464,36,Female,High,Married,Master's,High,Lederaba,Baby Products,56.74,5,Online,5,1,0.0,Medium,Very Sensitive,0,6,,Smartphone,Other,7/31/2024,True,False,Impulsive,Express,7,1.5761111111111112
33-264-2822,38,Male,High,Divorced,Bachelor's,Middle,Lugo,Toys & Games,371.32,7,In-Store,4,4,0.7,Medium,Not Sensitive,2,1,,Tablet,Debit Card,2/25/2024,True,True,Impulsive,Standard,6,9.77157894736842
95-478-2650,37,Female,Middle,Single,Bachelor's,Middle,São Roque,Software & Apps,461.0,7,Online,2,4,1.0,High,Not Sensitive,0,8,Low,Tablet,Cash,7/10/2024,False,True,Wants-based,Standard,9,12.45945945945946
04-349-6759,33,Female,High,Married,Bachelor's,High,Banī Khaddāsh,Food & Beverages,253.37,6,In-Store,4,1,1.0,,Very Sensitive,2,10,High,Tablet,Other,12/25/2024,True,False,Impulsive,Standard,8,7.677878787878788
21-755-8745,37,Male,High,Widowed,High School,High,Montpellier,Packages),136.53,3,Mixed,2,4,2.0,High,Not Sensitive,1,3,High,Smartphone,PayPal,5/31/2024,True,True,Planned,Standard,10,3.69
29-625-7057,31,Female,Middle,Single,Master's,Middle,Nesovice,Arts & Crafts,489.05,10,Online,5,3,0.0,High,Somewhat Sensitive,2,2,High,Desktop,PayPal,9/4/2024,True,True,Planned,Standard,7,15.775806451612903
58-623-8404,50,Male,High,Single,Master's,High,Pasirhuni,Electronics,81.91,10,In-Store,3,4,1.0,Medium,Very Sensitive,0,4,,Desktop,Debit Card,7/24/2024,False,True,Need-based,Express,2,1.6381999999999999
56-506-4709,50,Male,Middle,Married,Bachelor's,Middle,Glendale,Arts & Crafts,135.8,2,In-Store,2,5,1.0,Low,Somewhat Sensitive,1,2,High,Desktop,Debit Card,11/16/2024,False,True,Planned,No Preference,9,2.716
25-839-8670,45,Female,Middle,Widowed,High School,Middle,Tála,Health Supplements,382.24,12,In-Store,1,5,1.0,High,Very Sensitive,1,4,High,Tablet,PayPal,7/6/2024,True,True,Planned,Standard,3,8.494222222222222
89-194-0596,33,Female,High,Married,Bachelor's,Middle,Marseille,Gardening & Outdoors,354.7,5,Online,4,2,0.0,,Very Sensitive,2,7,,Smartphone,Other,2/10/2024,True,False,Planned,Express,12,10.748484848484848
55-163-1389,24,Male,High,Divorced,Bachelor's,High,Nasielsk,Mobile Accessories,433.82,6,Online,3,2,1.0,Medium,Somewhat Sensitive,0,8,Medium,Desktop,Other,6/29/2024,False,True,Planned,Express,10,18.075833333333332
28-225-4286,39,Genderfluid,High,Married,Bachelor's,Middle,Paris 06,Mobile Accessories,282.13,5,Mixed,4,5,1.0,,Somewhat Sensitive,1,2,,Tablet,Other,1/26/2024,True,False,Need-based,Standard,9,7.234102564102564
14-305-8712,48,Male,High,Widowed,High School,Middle,Bronnitsy,Mobile Accessories,454.38,10,Online,3,4,0.0,,Somewhat Sensitive,0,10,Medium,Smartphone,PayPal,6/15/2024,True,False,Impulsive,No Preference,7,9.46625
85-738-6864,25,Male,Middle,Married,High School,High,Inayauan,Mobile Accessories,138.88,7,In-Store,2,4,1.0,,Not Sensitive,1,3,,Tablet,Cash,6/8/2024,True,False,Planned,No Preference,4,5.5552
17-198-5155,30,Female,High,Single,Bachelor's,High,Qianjin,Books,52.34,6,In-Store,3,4,1.0,Low,Somewhat Sensitive,1,5,Medium,Tablet,PayPal,5/21/2024,True,True,Planned,Express,13,1.7446666666666668
15-354-9904,34,Male,Middle,Single,Bachelor's,High,Bagahanlad,Groceries,338.2,7,Online,3,5,0.0,,Not Sensitive,1,9,Medium,Tablet,Other,9/1/2024,True,False,Wants-based,Standard,7,9.947058823529412
35-198-9248,21,Female,Middle,Widowed,High School,Middle,Rzewnie,Toys & Games,263.15,3,In-Store,1,5,1.0,High,Somewhat Sensitive,1,10,High,Tablet,Other,3/4/2024,True,False,Impulsive,Express,10,12.53095238095238
03-950-6074,36,Female,Middle,Married,Master's,Middle,Strabychovo,Software & Apps,371.58,2,Mixed,2,1,2.0,High,Not Sensitive,0,10,,Smartphone,Cash,9/13/2024,True,True,Wants-based,No Preference,11,10.321666666666665
19-999-0134,30,Male,Middle,Widowed,Bachelor's,Middle,Hongqi,Health Care,353.4,2,Online,2,3,2.0,Medium,Very Sensitive,0,1,Low,Tablet,Credit Card,12/6/2024,False,True,Impulsive,No Preference,3,11.78
57-989-1487,46,Female,Middle,Divorced,High School,High,Oeoh,Software & Apps,329.41,5,In-Store,5,3,0.0,Medium,Somewhat Sensitive,1,1,High,Desktop,Cash,10/21/2024,True,True,Need-based,No Preference,2,7.16108695652174
07-816-2673,46,Female,Middle,Married,Master's,Middle,Topol’noye,Food & Beverages,54.46,5,Online,4,5,1.0,High,Not Sensitive,1,1,Low,Tablet,Other,11/17/2024,False,False,Impulsive,Standard,1,1.183913043478261
70-761-3550,43,Male,High,Widowed,Master's,Middle,Kovářov,Books,257.12,8,Online,2,1,0.0,High,Not Sensitive,2,1,High,Smartphone,Other,7/24/2024,True,False,Impulsive,No Preference,11,5.97953488372093
