Feature,Importance
Customer_ID,0.07445489030813922
Location,0.07087386077848958
Purchase_Amount,0.06926457854053943
Time_of_Purchase,0.06854553547488457
Spending_Per_Age,0.06678929624730276
Purchase_Category,0.05617598301212481
Age,0.053496064420481056
Time_to_Decision,0.047628410153741134
Frequency_of_Purchase,0.04556264871164541
Customer_Satisfaction,0.045320779598483824
Payment_Method,0.035408856692792506
Brand_Loyalty,0.0314856719984615
Product_Rating,0.029868957051970617
Engagement_with_Ads,0.028164318372213056
Marital_Status,0.02742844561251337
Social_Media_Influence,0.026819118481060042
Time_Spent_on_Product_Research(hours),0.023092857408399295
Purchase_Channel,0.022359900625291265
Gender,0.021826793039827264
Return_Rate,0.021484249316964143
Education_Level,0.021442995907344945
Device_Used_for_Shopping,0.020597782765371803
Discount_Sensitivity,0.020379997860213897
Shipping_Preference,0.020267534857278342
Occupation,0.01361805482821694
Customer_Loyalty_Program_Member,0.01336850138678953
Discount_Used,0.012629397966149859
Income_Level,0.011644518583309851
